"Client sent to Systempay gateway.","Client envoyé vers la plateforme Systempay."
"Payment transaction created.", "Transaction créée pour le paiement."
"Pending Systempay","En attente de Systempay"
"Unsupported currency","Devise non supportée"
"Invoice %s was created","La facture %s a bien été créée."
"Order registered","Commande enregistrée"
"Checkout and order have been canceled.","Le paiement et la commande sont annulés."
"The automatic notification (peer to peer connection between the payment platform and your shopping cart solution) hasn't worked. Have you correctly set up the server URL in your Systempay backoffice ?","La commande a été validée mais la confirmation automatique n'a pas fonctionné. Avez-vous correctement configuré l'URL serveur dans l'outil de gestion de caisse ?"
"For understanding the problem, please read the documentation of the module : <br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;To read carefully before going further&raquo;<br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;Server URL settings&raquo;","Afin de comprendre la problématique, reportez vous à la documentation du module : <br />&nbsp;&nbsp;&nbsp;- Chapitre &laquo;A lire attentivement avant d'aller loin&raquo;<br />&nbsp;&nbsp;&nbsp;- Chapitre &laquo;Paramétrage de l'URL serveur&raquo;"
"<p><u>GOING INTO PRODUCTION</u></p>You want to know how to put your shop into production mode, please go to this URL : ","<p><u>PASSAGE EN PRODUCTION</u></p>Vous souhaitez savoir comment passer votre boutique en production merci de consulter cette URL : "
"Received error code but the order has already been accepted","Réception d'un code de paiement invalide pour une commande déjà enregistrée"
"<p class='note'><b>MODULE INFORMATIONS</b></p>","<p class='note'><b>INFORMATIONS SUR LE MODULE</b></p>"
"Developed by","Développé par"
"Contact email","Courriel de contact"
"Module version","Version du module"
"Gateway version","Compatible avec la plateforme"
"Tested with Magento","Testé avec Magento"
"Reset the module","Réinitialiser le module"
"Click this button to remove all previous module installations or to reinitialize the current installation.","Cliquer sur ce bouton pour supprimer toutes les installations précédentes ou pour réinitialiser l'installation actuelle."
"Reset","Réinitialiser"
"<p class='note'><b>BASE SETTINGS</b></p>","<p class='note'><b>PARAMÈTRES DE BASE</b></p>"
"Sort order","Ordre"
"Enabled","Activé"
"Title","Titre"
"In the payment methods list","Dans la liste des moyens de paiement"
"Restrict to some countries","Restreindre ce moyen de paiement à certains pays"
"Authorized countries","Pays autorisés"
"<p class='note'><b>PAYMENT GATEWAY ACCESS</b></p>","<p class='note'><b>ACCÈS À LA PLATEFORME</b></p>"
"Site ID","Identifiant de la boutique"
"Test key","Certificat en mode test"
"Available in your Systempay backoffice","Disponible dans l'outil de gestion de caisse Systempay"
"Production key","Certificat en mode production"
"Available in your Systempay backoffice after test validation","Disponible dans l'outil de gestion de caisse Systempay disponible après passage en production"
"Mode","Mode"
"The context mode of the module","Le contexte d'utilisation du module"
"Platform URL","URL de la plateforme de paiement"
"<p class='note'><b>PAYMENT PAGE</b></p>","<p class='note'><b>PAGE DE PAIEMENT</b></p>"
"Language","Langue"
"Default language for payment page","Langue par défaut de la page de paiement"
"Available languages","Langues disponibles"
"Select none to use gateway config","Ne rien sélectionner pour utiliser la configuration de la plateforme"
"Delay","Délai avant remise en banque"
"Validation mode","Mode de validation"
"If manual is selected, you will have to confirm payments manually in your bank backoffice","En mode manuel, vous devrez confirmer les paiements dans l'outil de gestion de caisse"
"Credit Card Types","Types de cartes de crédit"
"Select the card type(s) that can be used for the payment","Sélectionner les types de carte qui pourront être utilisés pour le paiement"
"<p class='note'><b>PAYMENT PAGE CUSTOMIZE</b></p>","<p class='note'><b>PERSONNALISATION DE LA PAGE DE PAIEMENT</b></p>"
"Theme configuration","Configuration du thème"
"The theme configuration to customize the payment page (logo, css)","Configuration du thème pour personnaliser la page de paiement (logo, css)"
"Shop name","Nom de la boutique"
"The shop name to display on payment page","Le nom de la boutique à afficher sur la page de paiement"
"Shop URL","URL de la boutique"
"The site URL to display on payment page","URL de votre site à afficher sur la page de paiement"
"<p class='note'><b>SELECTIVE 3DS</b></p>","<p class='note'><b>3DS SÉLECTIF</b></p>"
"Minimum amount for which activate 3DS","Montant minimum pour lequel activer 3DS"
"Needs subscription to Selective 3-D Secure option.","Nécessite la souscription à l’option 3-D Secure sélectif."
"<p class='note'><b>CARD DATA ENTRY</b></p>","<p class='note'><b>ENTRÉE DES DONNÉES DE CARTE</b></p>"
"Card data entry mode","Mode de saisie des données de la carte"
"Select how the credit card infos will be entered. Attention, to use data acquisition on the merchant site, you must ensure that you have subscribed to this option with Systempay.","Sélectionner la manière dont seront saisies les données de la carte de crédit. Attention, pour utiliser l'acquisition des données sur le site marchand, vous devez vous assurer d'avoir souscrit à cette option auprès de Systempay."
"Card data entry on payment gateway","Acquisition des données sur la plateforme de paiement"
"Card type selection on merchant site","Sélection du type de carte sur le site marchand"
"Card data entry on merchant site","Acquisition des données sur le site marchand"
"<p class='note'><b>AMOUNT RESTRICTIONS</b></p>","<p class='note'><b>RESTRICTIONS SUR LE MONTANT</b></p>"
"Minimum Order Total","Montant minimum"
"Maximum Order Total","Montant maximum"
"<p class='note'><b>RETURN OPTIONS</b></p>","<p class='note'><b>RETOUR À LA BOUTIQUE</b></p>"
"Automatic redirection","Redirection automatique"
"Automatically redirect client to the shop at the end of the payment process","Rediriger automatiquement le client vers la boutique à la fin du processus de paiement"
"If automatic redirection is enabled","Si la redirection automatique est activée"
"Success redirection timeout","Délai avant redirection (paiement réussi)"
"Success redirection message","Message affiché avant redirection (paiement réussi)"
"Error redirection timeout","Délai avant redirection (paiement échoué)"
"Error redirection message","Message affiché avant redirection (paiement échoué)"
"Return mode","Mode de retour"
"How the client transmit payment process result","Façon dont le client transmet le résultat du paiement"
"Check URL","URL serveur"
"URL to paste in Systempay backoffice","URL à copier dans l'outil de gestion de caisse Systempay"
"Refill cart on failure","Remplir le panier en cas d'échec"
"Re-create the cart after a payment failure (fix magento behaviour)","Re-créer le panier après un paiement échoué (corrige le comportement de Magento)"
"Registered orders status","Statut des commandes enregistrées"
"Status of orders when payment is successfull.","Statut des commandes dont le paiement a réussi."
"Invoice creation","Création de la facture"
"Automatically create invoice when payment is successfull.","Créer la facture automatiquement si le paiement a réussi."
"<p class='note'><b>MULTI PAYMENT OPTIONS</b></p>","<p class='note'><b>OPTIONS DE PAIEMENT MULTIPLE</b></p>"
"Payment options","Options de paiement"
"Add","Ajouter"
"Label","Libellé"
"Mini amount","Montant mini"
"Maxi amount","Montant maxi"
"Count","Nombre"
"Period","Période"
"1st payment","1er paiement"
"Contract","Contrat"
"Click on Add button to configure one or more payment options. <br /><b>Label : </b>The option label to display on the frontend. <br /><b>Minimum amount : </b>Minimum amount to enable the payment option. <br /><b>Maximum amount : </b>Maximum amount to enable the payment option. <br /><b>Contract : </b>ID of the contract to use with the option. <br /><b>Count : </b>Total number of payments. <br /><b>Period : </b>Delay (in days) between payments. <br /><b>1st payment : </b>Amount of first payment, in percentage of total amount. If empty, all payments will have the same amount.","Cliquer sur le bouton Ajouter pour configurer une ou plusieurs options de paiement. <br /><b>Libellé : </b>Texte décrivant l'option de paiement multiple. <br /><b>Montant mini : </b>Montant minimum pour proposer l'option. <br /><b>Montant maxi : </b>Montant maximum pour proposer l'option. <br /><b>Contrat : </b>ID du contrat à utiliser avec l'option. <br /><b>Nombre : </b>Nombre total d'échéances. <br /><b>Période : </b>Délai entre deux échéances (en jours). <br /><b>1er paiement : </b>Montant de la première échéance en pourcentage du total. Si vide, toutes les échéances auront le même montant."
"French","Français"
"German","Allemand"
"English","Anglais"
"Spanish","Espagnol"
"Chinese","Chinois"
"Italian","Italien"
"Japanese","Japonnais"
"Portuguese","Portugais"
"Dutch","Néerlandais"
"Back office configuration","Configuration outil gestion de caisse"
"Automatic","Automatique"
"Manual","Manuelle"
"Yes","Oui"
"No","Non"
"ALL","TOUTES"
"GET (parameters in the URL)","GET (paramètres dans l'URL)"
"POST (form)","POST (formulaire)"
"Transaction ID","Numéro de transaction"
"Credit Card Number","Numéro de carte de crédit"
"CVV","CVV"
"Expiration Date","Date d'expiration"
"Payment Mean","Moyen de paiement"
"Amount Paid","Montant payé"
"Sequence Number","Numéro de séquence"
"Transaction Status","Status de la transaction"
"Extra Transaction ID","Référence externe"
"You will be redirected to the payment page after the order confirmation.","Vous allez être redirigé(e) vers la page de paiement après confirmation de la commande."
"Please wait a moment. This page will transfer your data to Systempay payment gateway in a few seconds.","Veuillez patienter SVP, vous allez être redirigé(e) vers la plateforme de paiement Systempay dans quelques secondes."
"If nothing happens in 10 seconds, click the button below.","Si rien ne se passe dans 10 secondes, cliquez sur le bouton ci-dessous."
"Please wait a moment. Your order payment is now processing.","Veuillez patienter SVP. Le paiement de votre commande est en cours."
"Send","Envoyer"
"Incorrect credit card number.","Numéro de carte de crédit incorrect."
"Incorrect credit card CVV.","CVV de la carte incorrect."
"Incorrect credit card expiration date.","Date d'expiration de la carte incorrecte."
"The field &laquo;%s&raquo; is invalid: please check &laquo;%s&raquo; of the option %s.","Le champ &laquo;%s&raquo; est invalide: veuillez vérifier &laquo;%s&raquo; de l'option %s."
"The configuration of the Systempay module has been successfully reset.","La configuration du module Systempay a été réinitialisée avec succès."
"Payment Method","Méthode de paiement"
"Gift Card Types","Types de cartes cadeau"
"Select the gift card type(s) that can be used for the payment","Sélectionner les types de carte cadeau qui pourront être utilisés pour le paiement"
"Card Code","Code de la carte"
"Card Label","Libellé de la carte"
"Add cards","Ajouter des cartes"
"Click on button to add one or more new gift cards. <br /><b>Card Code : </b>The Systempay exact gift card code. <br /><b>Card Label : </b>The label of the new gift card.","Cliquer sur le bouton pour ajouter une ou plusieurs nouvelles cartes cadeau. <br /><b>Code de la carte : </b>Le code Systempay de la nouvelle carte cadeau. <br /><b>Libellé de la carte : </b>Le libellé de la nouvelle carte cadeau."